"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Banking Application","Customer Transactions","Transaction Security","0","0","1","0","0"
"Banking Application","Bank Manager Operations","Add Customer - Negative","0","0","2","0","0"
"Banking Application","Bank Manager Operations","Delete Account","0","0","1","0","0"
"Banking Application","Customer Transactions","Withdraw Money - Negative","0","0","2","0","0"
"Banking Application","Customer Transactions","View Transactions","0","0","1","0","0"
"Banking Application","Bank Manager Operations","Add Customer","0","0","2","0","0"
"Banking Application","Customer Transactions","Deposit Funds","0","0","2","0","0"
"Banking Application","Bank Manager Operations","Create Account","0","0","1","0","0"
"Banking Application","Customer Transactions","Withdraw Money","1","0","0","0","0"
